CID,SMILES
3727856,CC1=C(C=C(N1CC2=CC=C(C=C2)F)C(=O)OC)C(=O)OC
2228338,C1=CN=CC=C1CNC(=O)C2=CC(=C(C=C2Cl)F)F
16286933,CC(C)C(C(=O)N1CCC1)NC(=O)C2=CC=C(C=C2)F
3636761,CC(=O)C1C(=NC2=CC(=CC=C2)Cl)C3=C(C1=O)C(=CC=C3)[N+](=O)[O-]
23724269,CC1CC(C(CN1C)C)NCC2=CC(=C(C=C2)OC)OC.Cl
941651,CN1CCN(CC1)CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C
1362085,COC1=CC=C(C=C1)NC(=O)NC2=NN=C(S2)CC3=CC=C(C=C3)F
863777,C1CN(CC2=CC=CC=C21)S(=O)(=O)C3=CC=CC=C3F
3919936,CCOC(=O)N1CCN(CC1)CC(C2=CNC3=CC=CC=C32)O
3744764,CC1=NC2=C(C=NN2C(=C1)SCC=C)C3=CC=CC=C3
809167,C1=CSC(=C1)C(=O)NNC(=O)C2=CC=C(C=C2)F
3112830,CC1(CC(CCO1)C2=NC(=CS2)C3=CC=C(C=C3)[N+](=O)[O-])C
135485069,C1COCCN1/N=C/C2=C(N(C(=S)NC2=O)C3=CC(=CC=C3)Cl)O
4617962,C1CN(C(=N1)SCC2=CC(=CC=C2)[N+](=O)[O-])C(=O)CC3=CC=CC=C3
24792686,CC1=C2C(=CC=C1)C=C(C(=N2)SCC(=O)NC3=NOC(=C3)C)C
2558920,C1COCCN1C(=O)COC(=O)C2=C(C3=CC=CC=C3C=C2)O
3425064,CCC1=CC=CC=C1NC(=O)CCS(=O)(=O)C2=CC=C(C=C2)C
1887129,C1=CSC(=N1)NC(=O)CSC2=NN=C(S2)N
9677991,CCOC(=O)N/N=C/C1=CC=C(C=C1)OC2=CC=CC=C2
2816784,CCN(CC)CC(=O)NN1C(=NC2=C(C1=O)N=CN2C3=CC=CC=C3)C
2983575,C1CN(CCN1C2=CC=CC=C2)C(=O)C3=CC4=NC=CN=C4C=C3
4879932,CC(C(=O)NC1=CC=C(C=C1)C#N)N(C)CC(=O)NC2=CC(=CC=C2)F
2383716,C1COCCN1C2=CC(=C(C=C2)C(=O)NCC(=O)O)[N+](=O)[O-]
5344887,C/C(=N\NC(=O)C1=NC=CN=C1)/CC(=O)NC2=CC=C(C=C2)OC
1098620,C1CN(CCN1CC2=CC=CC=C2)C(=O)C3=CC=C(C=C3)Br
4111681,CC1=C(C(N2C(=NC=N2)N1)C3=CC=C(C=C3)Br)C(=O)C
725903,CC(=O)/C=C/1\C2=CC=CC=C2NC1=O
684242,CC1=CC(=C(C(=N1)SCC2=CC=CC=C2)C#N)COC
1431365,C1CCC(CC1)NC(=O)CN2C(=O)C3=CC=CC=C3N=N2
5937436,CC/C(=N\NC(=O)CNC(=O)/C=C/C1=CC=C(C=C1)OC)/C2=CC=CC=C2
893129,COC1=CC=CC=C1NC(=O)C2CCN(CC2)S(=O)(=O)C
2743534,CC1=CC(=NO1)CSCC2=CC=C(C=C2)Cl
864393,CC1=CC(=NC2=CC=CC=C12)SCC(=O)NC3CCCCC3
16244991,CCC(C)C1=CC=C(C=C1)S(=O)(=O)NC2=CN=CC=C2.Cl
2810585,CC1=C(C=C(O1)S(=O)(=O)N(C)C)C(=O)NC2=CC=C(C=C2)Cl
2865614,CC1C(C(=O)N(C1=O)C2=C(C=CC(=C2)C)C)CC3=CC=C(C=C3)C
2403164,C1CCC(C1)CC(=O)NC2=CC(=CC=C2)Br
2790108,CC1=C2C(=CC=C1)C(=CC(=N2)C)NC3=CC=CC(=C3)C(=O)C.Cl
4089794,C1C2C=CC1C(C2C(=O)NCC3=C(C=C(C=C3)Cl)Cl)C(=O)O
1084755,C1CCC(C1)NC(=O)COC(=O)C2=CC=CS2
2244777,C1=CC=C(C=C1)NC(=O)OCCOC2=CC(=CC=C2)Br
7667512,COC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC(=C2)Cl)N3C=NC=N3
4910187,CC(C1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)F
66063,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3.Cl
135630590,CC1=CC(=NN1)C2=NNC(=S)N2/N=C/C3=C(C(=CC=C3)OC)O
2116212,CN1C2=C(C=C(C=N2)C(=O)C3=C(C=CC(=C3)F)O)C(=O)NC1=O
24818674,CCOC1=CC=C(C=C1)NC(=O)NCC2=CC3=C(C=C2)OCO3
9624916,CC1=CC=C(C=C1)NC(=O)C/C(=N/OC(=O)C2=CC=CC=C2)/N
9535523,CC1=CC=C(C=C1)CNC(=O)C2=CC(=O)C3=CC=CC=C3O2
135475567,C/C(=N\N1CCCCC1)/C2=C(N(C(=O)NC2=O)CC=C)O
6858632,C1=CC(=C(C=C1[N+](=O)[O-])C2=CC=C(O2)/C=N/N3C=NN=C3)Cl
